 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
A minor (0), 0, 1, 1, 2, 2, 2, 5, 1, 1, 1, 4, 2, 0, 1, 3, 1, 6, 2, 1, 3, 0, 2, 3, 2, 0, 1, 4, 1, 1, 2, 1, 1, 5, 0, 2, 0, 0, 1, 65
A minor mel (0), 0, 2, 2, 3, 2, 3, 6, 2, 1, 2, 3, 3, 1, 1, 2, 1, 7, 3, 2, 2, 1, 3, 2, 3, 0, 1, 3, 2, 1, 3, 1, 1, 4, 1, 3, 0, 0, 1, 78
C major blues (0), 0, 2, 2, 3, 1, 3, 5, 2, 3, 1, 4, 3, 2, 1, 4, 1, 4, 4, 5, 4, 6, 7, 4, 4, 1, 1, 4, 2, 1, 2, 2, 1, 7, 2, 3, 1, 1, 0, 103
A minor blues (0), 0, 2, 2, 3, 1, 3, 5, 2, 3, 1, 4, 3, 2, 1, 4, 1, 6, 4, 4, 5, 4, 3, 4, 5, 1, 1, 4, 2, 1, 2, 2, 1, 6, 2, 3, 1, 1, 0, 99
C dorian (0), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 4, 3, 4, 2, 4, 6, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 66
C phrygian (0), 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 4, 0, 0, 0, 4, 0, 2, 1, 4, 4, 4, 5, 3, 2, 1, 1, 4, 0, 0, 1, 1, 1, 6, 0, 2, 0, 1, 0, 59
C lydian (0), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 4, 3, 4, 2, 4, 6, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 66
C mixolydian (0), 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 4, 0, 0, 0, 4, 0, 2, 1, 4, 4, 4, 5, 3, 2, 1, 1, 4, 0, 0, 1, 1, 1, 6, 0, 2, 0, 1, 0, 59
C aeolian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
C locrian (0), 0, 1, 1, 1, 0, 1, 2, 1, 2, 0, 3, 1, 1, 1, 3, 1, 2, 2, 3, 3, 5, 6, 4, 3, 1, 1, 3, 1, 0, 0, 2, 1, 7, 1, 2, 1, 1, 0, 68
F major (1b), 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 4, 0, 0, 0, 3, 0, 2, 1, 4, 4, 4, 5, 2, 3, 1, 1, 3, 0, 0, 1, 1, 1, 5, 0, 2, 0, 1, 0, 55
G major (1#), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 6, 3, 4, 2, 4, 2, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 64
D minor (1b), 1, 1, 1, 1, 1, 2, 4, 1, 4, 1, 5, 1, 1, 1, 5, 1, 5, 2, 4, 5, 3, 0, 4, 4, 2, 2, 5, 1, 1, 2, 2, 2, 6, 1, 3, 1, 2, 1, 89
E minor (1#), 0, 1, 1, 2, 1, 1, 4, 1, 0, 1, 1, 2, 1, 0, 1, 0, 8, 4, 2, 1, 3, 3, 2, 4, 1, 0, 1, 1, 2, 3, 0, 1, 2, 2, 2, 0, 1, 0, 60
D minor mel (1b), 1, 1, 1, 2, 2, 1, 5, 1, 3, 1, 5, 2, 1, 1, 5, 1, 6, 3, 3, 4, 2, 0, 3, 4, 1, 1, 5, 1, 2, 2, 1, 1, 5, 1, 2, 1, 1, 1, 83
E minor mel (1#), 1, 2, 2, 3, 2, 1, 5, 2, 1, 2, 2, 3, 2, 1, 2, 1, 9, 5, 3, 2, 4, 2, 3, 5, 2, 1, 2, 2, 3, 4, 1, 2, 2, 3, 3, 1, 2, 1, 94
F major blues (1b), 0, 1, 1, 2, 1, 2, 3, 1, 4, 0, 4, 2, 1, 2, 4, 1, 4, 4, 4, 5, 5, 7, 4, 4, 1, 1, 3, 1, 1, 2, 3, 2, 6, 2, 3, 1, 1, 0, 93
G major blues (1#), 1, 2, 2, 3, 2, 3, 6, 2, 4, 2, 5, 3, 2, 1, 5, 1, 7, 4, 6, 5, 6, 2, 4, 4, 2, 2, 5, 2, 2, 3, 2, 2, 6, 2, 4, 1, 2, 1, 118
D minor blues (1b), 0, 1, 1, 2, 1, 2, 4, 1, 4, 0, 4, 2, 1, 2, 5, 1, 6, 4, 4, 5, 4, 3, 5, 4, 1, 1, 4, 1, 1, 2, 3, 2, 7, 2, 3, 1, 1, 0, 95
E minor blues (1#), 1, 2, 2, 3, 2, 3, 6, 2, 3, 2, 4, 3, 2, 1, 4, 1, 10, 4, 5, 5, 4, 2, 4, 5, 2, 2, 4, 2, 2, 3, 2, 2, 5, 2, 4, 1, 2, 1, 114
F dorian (1b), 0, 0, 0, 1, 1, 1, 3, 0, 2, 0, 4, 1, 0, 0, 3, 0, 3, 2, 3, 3, 3, 5, 1, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 49
G dorian (1#), 1, 2, 2, 3, 2, 2, 6, 2, 3, 2, 4, 3, 2, 1, 4, 1, 7, 4, 5, 3, 5, 1, 2, 4, 1, 1, 4, 2, 2, 3, 1, 1, 4, 2, 3, 1, 1, 1, 98
F phrygian (1b), 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 3, 5, 6, 3, 4, 1, 1, 2, 1, 0, 0, 2, 1, 6, 1, 2, 1, 1, 0, 64
G phrygian (1#), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 5, 2, 3, 3, 3, 1, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 51
F lydian (1b), 0, 0, 0, 1, 1, 1, 3, 0, 2, 0, 4, 1, 0, 0, 3, 0, 3, 2, 3, 3, 3, 5, 1, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 49
G lydian (1#), 1, 2, 2, 3, 2, 2, 6, 2, 3, 2, 4, 3, 2, 1, 4, 1, 7, 4, 5, 3, 5, 1, 2, 4, 1, 1, 4, 2, 2, 3, 1, 1, 4, 2, 3, 1, 1, 1, 98
F mixolydian (1b), 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 3, 1, 1, 1, 2, 1, 2, 2, 3, 3, 5, 6, 3, 4, 1, 1, 2, 1, 0, 0, 2, 1, 6, 1, 2, 1, 1, 0, 64
G mixolydian (1#), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 5, 2, 3, 3, 3, 1, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 51
F aeolian (1b), 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 4, 0, 0, 0, 3, 0, 2, 1, 4, 4, 4, 5, 2, 3, 1, 1, 3, 0, 0, 1, 1, 1, 5, 0, 2, 0, 1, 0, 55
G aeolian (1#), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 6, 3, 4, 2, 4, 2, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 64
F locrian (1b), 0, 1, 1, 1, 0, 1, 1, 1, 3, 0, 3, 1, 1, 2, 3, 1, 3, 3, 2, 4, 4, 7, 4, 3, 1, 1, 2, 1, 0, 1, 3, 2, 6, 2, 3, 1, 1, 0, 74
G locrian (1#), 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 4, 0, 0, 0, 4, 0, 4, 1, 4, 4, 4, 1, 3, 2, 1, 1, 4, 0, 0, 1, 1, 1, 6, 0, 2, 0, 1, 0, 57
Bb major (2b), 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 3, 1, 1, 1, 2, 1, 2, 2, 4, 5, 7, 6, 3, 4, 1, 1, 2, 1, 0, 0, 2, 3, 5, 1, 1, 1, 5, 0, 73
D major (2#), 1, 2, 2, 3, 2, 2, 6, 2, 3, 2, 4, 3, 2, 1, 4, 1, 7, 4, 4, 3, 3, 1, 2, 5, 1, 1, 4, 2, 2, 3, 1, 1, 4, 2, 3, 1, 1, 1, 96
G minor (2b), 0, 2, 2, 2, 0, 2, 3, 2, 2, 1, 2, 2, 2, 1, 2, 1, 5, 3, 4, 2, 6, 3, 3, 4, 1, 1, 2, 2, 0, 1, 2, 1, 6, 2, 3, 1, 1, 0, 79
B minor (2#), 1, 4, 4, 5, 1, 2, 3, 3, 3, 2, 5, 3, 2, 2, 5, 1, 10, 5, 5, 4, 5, 2, 4, 5, 1, 1, 4, 3, 1, 4, 2, 2, 2, 5, 4, 1, 1, 1, 118
G minor mel (2b), 0, 1, 1, 1, 0, 3, 4, 1, 3, 1, 3, 1, 1, 0, 3, 0, 5, 2, 5, 3, 5, 2, 2, 3, 1, 1, 3, 1, 0, 2, 1, 1, 5, 1, 3, 0, 1, 0, 70
B minor mel (2#), 1, 5, 5, 6, 2, 3, 4, 4, 3, 3, 6, 4, 2, 3, 5, 2, 11, 5, 4, 4, 4, 3, 5, 4, 1, 2, 5, 4, 1, 5, 3, 3, 3, 5, 5, 1, 1, 2, 139
Bb major blues (2b), 0, 1, 1, 1, 0, 2, 2, 1, 4, 0, 4, 1, 1, 2, 4, 1, 3, 4, 5, 8, 8, 7, 5, 4, 2, 1, 3, 1, 1, 3, 3, 5, 5, 3, 2, 1, 6, 0, 105
D major blues (2#), 1, 3, 3, 4, 3, 3, 7, 3, 3, 3, 6, 4, 2, 2, 5, 2, 8, 4, 4, 4, 3, 3, 4, 5, 1, 2, 6, 3, 2, 4, 2, 2, 6, 2, 4, 1, 1, 2, 127
G minor blues (2b), 0, 1, 1, 1, 0, 2, 3, 1, 4, 0, 4, 1, 1, 2, 5, 1, 5, 4, 4, 6, 6, 4, 6, 3, 2, 1, 4, 1, 1, 3, 3, 3, 7, 3, 3, 1, 2, 0, 99
B minor blues (2#), 1, 5, 5, 7, 3, 3, 6, 4, 2, 3, 7, 5, 2, 2, 5, 2, 10, 4, 4, 4, 4, 3, 5, 6, 1, 2, 6, 4, 2, 4, 2, 2, 5, 4, 4, 1, 1, 2, 142
Bb dorian (2b), 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 4, 0, 0, 0, 3, 0, 2, 1, 5, 6, 6, 5, 2, 3, 1, 1, 3, 0, 0, 1, 1, 3, 4, 0, 1, 0, 5, 0, 64
D dorian (2#), 1, 3, 3, 4, 3, 3, 7, 3, 3, 3, 5, 4, 2, 2, 4, 2, 8, 4, 3, 3, 2, 2, 3, 4, 1, 2, 5, 3, 2, 4, 2, 2, 5, 2, 4, 1, 1, 2, 117
Bb phrygian (2b), 0, 1, 1, 2, 2, 2, 5, 1, 1, 1, 4, 2, 0, 1, 3, 1, 6, 2, 1, 3, 0, 2, 3, 2, 0, 1, 4, 1, 1, 2, 1, 1, 5, 0, 2, 0, 0, 1, 65
D phrygian (2#), 0, 2, 2, 3, 2, 3, 6, 2, 1, 2, 3, 3, 1, 1, 2, 1, 7, 3, 2, 2, 1, 3, 2, 3, 0, 1, 3, 2, 1, 3, 1, 1, 4, 1, 3, 0, 0, 1, 78
Bb lydian (2b), 0, 2, 2, 3, 1, 3, 5, 2, 3, 1, 4, 3, 2, 1, 4, 1, 4, 4, 5, 4, 6, 7, 4, 4, 1, 1, 4, 2, 1, 2, 2, 1, 7, 2, 3, 1, 1, 0, 103
D lydian (2#), 0, 2, 2, 3, 1, 3, 5, 2, 3, 1, 4, 3, 2, 1, 4, 1, 6, 4, 4, 5, 4, 3, 4, 5, 1, 1, 4, 2, 1, 2, 2, 1, 6, 2, 3, 1, 1, 0, 99
Bb mixolydian (2b), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 4, 3, 4, 2, 4, 6, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 66
D mixolydian (2#), 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 4, 0, 0, 0, 4, 0, 2, 1, 4, 4, 4, 5, 3, 2, 1, 1, 4, 0, 0, 1, 1, 1, 6, 0, 2, 0, 1, 0, 59
Bb aeolian (2b), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 4, 3, 4, 2, 4, 6, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 66
D aeolian (2#), 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 4, 0, 0, 0, 4, 0, 2, 1, 4, 4, 4, 5, 3, 2, 1, 1, 4, 0, 0, 1, 1, 1, 6, 0, 2, 0, 1, 0, 59
Bb locrian (2b), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
D locrian (2#), 0, 1, 1, 1, 0, 1, 2, 1, 2, 0, 3, 1, 1, 1, 3, 1, 2, 2, 3, 3, 5, 6, 4, 3, 1, 1, 3, 1, 0, 0, 2, 1, 7, 1, 2, 1, 1, 0, 68
Eb major (3b), 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 4, 0, 0, 0, 3, 0, 2, 1, 4, 4, 4, 5, 2, 3, 1, 1, 3, 0, 0, 1, 1, 1, 5, 0, 2, 0, 1, 0, 55
A major (3#), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 6, 3, 4, 2, 4, 2, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 64
C minor (3b), 1, 1, 1, 1, 1, 2, 4, 1, 4, 1, 5, 1, 1, 1, 5, 1, 5, 2, 4, 5, 3, 0, 4, 4, 2, 2, 5, 1, 1, 2, 2, 2, 6, 1, 3, 1, 2, 1, 89
