 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
A minor (0), 0, 0, 0, 1, 1, 1, 4, 0, 1, 0, 3, 1, 0, 0, 3, 0, 5, 2, 2, 3, 1, 1, 2, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 44
A minor mel (0), 0, 0, 0, 1, 1, 1, 4, 0, 1, 0, 3, 1, 0, 0, 3, 0, 5, 2, 2, 3, 1, 1, 2, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 44
C major blues (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
A minor blues (0), 0, 0, 0, 1, 1, 1, 4, 0, 1, 0, 3, 1, 0, 0, 3, 0, 5, 2, 2, 3, 1, 1, 2, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 44
C dorian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
C phrygian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
C lydian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
C mixolydian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
C aeolian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
C locrian (0), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
F major (1b), 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 4, 0, 0, 0, 3, 0, 2, 1, 4, 4, 4, 5, 2, 3, 1, 1, 3, 0, 0, 1, 1, 1, 5, 0, 2, 0, 1, 0, 55
G major (1#), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 6, 3, 4, 2, 4, 2, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 64
D minor (1b), 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 4, 0, 0, 0, 4, 0, 4, 1, 3, 4, 2, 1, 3, 3, 1, 1, 4, 0, 0, 1, 1, 1, 6, 0, 2, 0, 1, 0, 55
E minor (1#), 0, 1, 1, 2, 1, 2, 5, 1, 1, 1, 2, 2, 1, 0, 2, 0, 8, 3, 3, 2, 2, 2, 1, 4, 0, 0, 2, 1, 1, 2, 0, 0, 3, 1, 2, 0, 0, 0, 59
D minor mel (1b), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
E minor mel (1#), 0, 0, 0, 1, 1, 1, 4, 0, 1, 0, 3, 1, 0, 0, 3, 0, 5, 2, 2, 3, 1, 1, 2, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 44
F major blues (1b), 0, 0, 0, 1, 1, 1, 4, 0, 1, 0, 3, 1, 0, 0, 3, 0, 5, 2, 2, 3, 1, 1, 2, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 44
G major blues (1#), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
D minor blues (1b), 0, 0, 0, 1, 1, 1, 4, 0, 1, 0, 3, 1, 0, 0, 3, 0, 5, 2, 2, 3, 1, 1, 2, 3, 0, 0, 3, 0, 1, 1, 0, 0, 4, 0, 1, 0, 0, 0, 44
E minor blues (1#), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
F dorian (1b), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
G dorian (1#), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
F phrygian (1b), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
G phrygian (1#), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
F lydian (1b), 0, 0, 0, 1, 1, 1, 4, 0, 2, 0, 4, 1, 0, 0, 4, 0, 3, 2, 3, 3, 3, 5, 2, 2, 0, 0, 4, 0, 1, 1, 0, 0, 5, 0, 1, 0, 0, 0, 53
G lydian (1#), 0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 4, 0, 0, 0, 3, 0, 2, 1, 4, 4, 4, 5, 2, 3, 1, 1, 3, 0, 0, 1, 1, 1, 5, 0, 2, 0, 1, 0, 55
F mixolydian (1b), 0, 1, 1, 2, 1, 2, 5, 1, 2, 1, 3, 2, 1, 0, 3, 0, 6, 3, 4, 2, 4, 2, 1, 3, 0, 0, 3, 1, 1, 2, 0, 0, 4, 1, 2, 0, 0, 0, 64
