 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, rowcost
G locrian (1#), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
Bb major (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
D major (2#), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
G minor (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
B minor (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
G minor mel (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
B minor mel (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
Bb major blues (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
D major blues (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
G minor blues (2b), 0, 3, 1, 1, 0, 0, 2, 3, 1, 3, 1, 1, 0, 0, 2, 1, 1, 6, 1, 1, 0, 0, 1, 2, 0, 3, 1, 1, 0, 0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 3, 0, 0, 1, 1, 1, 3, 1, 2, 0, 2, 3, 3, 5, 2, 3, 2, 5, 3, 4, 0, 0, 2, 0,  , 0, 1, 1, 0, 1, 2, 1, 1, 2, 2, 2, 3, 2, 5, 2, 3, 0, 2, 2, 1, 3, 2, 4, 1,  , 1, 0, 1, 5, 1, 2, 0, 0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 4, 2, 1, 3, 1, 1, 0, 6, 2, 3, 2, 2, 4, 3, 5, 0, 3, 1, 3, 1, 2, 0, 1, 4, 0, 214
B minor blues (2#), 1, 4, 2, 2, 1, 1, 2, 3, 3, 4, 2, 2, 1, 1, 2, 2, 1, 2, 0, 1, 0, 0, 2, 1, 2, 4, 2, 2, 1, 1, 2, 2, 1, 3, 2, 3, 2, 3, 3, 3, 1, 2, 1, 3, 3, 4, 2, 4, 2, 0, 2, 4, 5, 3, 3, 1, 6, 3, 4, 2, 1, 3, 0,  , 0, 3, 1, 1, 0, 4, 3, 1, 1, 4, 3, 3, 2, 5, 4, 3, 0, 0, 0, 3, 2, 2, 5, 2,  , 3, 1, 2, 3, 3, 3, 2, 0, 2, 1, 2, 1, 2, 2, 5, 3, 5, 4, 1, 2, 2, 3, 2, 2, 4, 2, 3, 2, 2, 5, 6, 5, 1, 3, 1, 3, 2, 3, 1, 3, 1, 0, 290
Bb dorian (2b), 0, 2, 1, 1, 0, 0, 2, 3, 1, 2, 1, 1, 0, 0, 2, 1, 1, 3, 1, 1, 0, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 3, 3, 3, 0, 0, 1, 1, 1, 3, 2, 2, 0, 2, 2, 4, 5, 1, 3, 2, 5, 2, 4, 0, 0, 1, 0,  , 0, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 4, 2, 5, 2, 2, 0, 1, 2, 1, 3, 2, 4, 1,  , 1, 0, 1, 4, 2, 2, 0, 0, 0, 0, 0, 0, 1, 4, 3, 3, 4, 5, 1, 1, 3, 1, 1, 0, 5, 2, 2, 2, 2, 4, 4, 4, 0, 3, 2, 3, 1, 2, 0, 1, 2, 0, 202
D dorian (2#), 1, 5, 2, 3, 3, 1, 3, 3, 4, 5, 2, 3, 3, 1, 3, 4, 1, 2, 0, 1, 0, 0, 2, 2, 3, 5, 2, 3, 3, 1, 3, 4, 3, 3, 4, 3, 5, 5, 6, 5, 1, 2, 1, 5, 3, 2, 3, 5, 2, 0, 3, 4, 4, 5, 3, 3, 5, 5, 6, 2, 1, 3, 0,  , 0, 3, 2, 2, 0, 6, 3, 1, 1, 4, 5, 5, 5, 5, 5, 4, 0, 0, 0, 3, 3, 2, 6, 2,  , 3, 1, 2, 4, 6, 4, 4, 0, 2, 4, 2, 4, 3, 3, 4, 4, 7, 3, 1, 4, 3, 3, 2, 2, 6, 2, 3, 3, 2, 6, 6, 4, 1, 2, 1, 2, 2, 3, 1, 4, 1, 0, 371
Bb phrygian (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
D phrygian (2#), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
Bb lydian (2b), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
D lydian (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
Bb mixolydian (2b), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
D mixolydian (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
Bb aeolian (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
D aeolian (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
Bb locrian (2b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
D locrian (2#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
Eb major (3b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
A major (3#), 0, 3, 1, 1, 0, 0, 2, 3, 1, 3, 1, 1, 0, 0, 2, 1, 1, 6, 1, 1, 0, 0, 1, 2, 0, 3, 1, 1, 0, 0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 3, 0, 0, 1, 1, 1, 3, 1, 2, 0, 2, 3, 3, 5, 2, 3, 2, 5, 3, 4, 0, 0, 2, 0,  , 0, 1, 1, 0, 1, 2, 1, 1, 2, 2, 2, 3, 2, 5, 2, 3, 0, 2, 2, 1, 3, 2, 4, 1,  , 1, 0, 1, 5, 1, 2, 0, 0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 4, 2, 1, 3, 1, 1, 0, 6, 2, 3, 2, 2, 4, 3, 5, 0, 3, 1, 3, 1, 2, 0, 1, 4, 0, 214
C minor (3b), 1, 4, 2, 2, 1, 1, 2, 3, 3, 4, 2, 2, 1, 1, 2, 2, 1, 2, 0, 1, 0, 0, 2, 1, 2, 4, 2, 2, 1, 1, 2, 2, 1, 3, 2, 3, 2, 3, 3, 3, 1, 2, 1, 3, 3, 4, 2, 4, 2, 0, 2, 4, 5, 3, 3, 1, 6, 3, 4, 2, 1, 3, 0,  , 0, 3, 1, 1, 0, 4, 3, 1, 1, 4, 3, 3, 2, 5, 4, 3, 0, 0, 0, 3, 2, 2, 5, 2,  , 3, 1, 2, 3, 3, 3, 2, 0, 2, 1, 2, 1, 2, 2, 5, 3, 5, 4, 1, 2, 2, 3, 2, 2, 4, 2, 3, 2, 2, 5, 6, 5, 1, 3, 1, 3, 2, 3, 1, 3, 1, 0, 290
F# minor (3#), 0, 2, 1, 1, 0, 0, 2, 3, 1, 2, 1, 1, 0, 0, 2, 1, 1, 3, 1, 1, 0, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 3, 3, 3, 0, 0, 1, 1, 1, 3, 2, 2, 0, 2, 2, 4, 5, 1, 3, 2, 5, 2, 4, 0, 0, 1, 0,  , 0, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 4, 2, 5, 2, 2, 0, 1, 2, 1, 3, 2, 4, 1,  , 1, 0, 1, 4, 2, 2, 0, 0, 0, 0, 0, 0, 1, 4, 3, 3, 4, 5, 1, 1, 3, 1, 1, 0, 5, 2, 2, 2, 2, 4, 4, 4, 0, 3, 2, 3, 1, 2, 0, 1, 2, 0, 202
C minor mel (3b), 1, 5, 2, 3, 3, 1, 3, 3, 4, 5, 2, 3, 3, 1, 3, 4, 1, 2, 0, 1, 0, 0, 2, 2, 3, 5, 2, 3, 3, 1, 3, 4, 3, 3, 4, 3, 5, 5, 6, 5, 1, 2, 1, 5, 3, 2, 3, 5, 2, 0, 3, 4, 4, 5, 3, 3, 5, 5, 6, 2, 1, 3, 0,  , 0, 3, 2, 2, 0, 6, 3, 1, 1, 4, 5, 5, 5, 5, 5, 4, 0, 0, 0, 3, 3, 2, 6, 2,  , 3, 1, 2, 4, 6, 4, 4, 0, 2, 4, 2, 4, 3, 3, 4, 4, 7, 3, 1, 4, 3, 3, 2, 2, 6, 2, 3, 3, 2, 6, 6, 4, 1, 2, 1, 2, 2, 3, 1, 4, 1, 0, 371
F# minor mel (3#), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
Eb major blues (3b), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
A major blues (3#), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
C minor blues (3b), 0, 4, 1, 2, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 3, 1, 2, 3, 1, 0, 0, 0, 2, 1, 1, 4, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 2, 2, 3, 4, 0, 1, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 4, 3, 2, 1, 7, 4, 6, 1, 0, 3, 0,  , 0, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 2, 3, 4, 3, 4, 0, 1, 1, 2, 2, 3, 5, 1,  , 2, 0, 1, 4, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 4, 4, 3, 5, 2, 1, 2, 2, 2, 1, 5, 3, 2, 1, 3, 5, 4, 6, 1, 4, 2, 4, 1, 3, 0, 2, 2, 0, 268
F# minor blues (3#), 0, 4, 1, 3, 1, 1, 4, 2, 3, 4, 1, 3, 1, 1, 4, 3, 2, 3, 1, 0, 0, 0, 2, 2, 1, 4, 1, 3, 1, 1, 4, 3, 1, 2, 1, 2, 4, 4, 4, 4, 0, 1, 2, 4, 2, 1, 3, 4, 1, 1, 3, 3, 3, 2, 2, 3, 5, 4, 6, 1, 0, 2, 0,  , 0, 2, 2, 1, 1, 4, 2, 1, 1, 3, 2, 4, 5, 4, 3, 4, 0, 1, 1, 2, 3, 3, 5, 1,  , 2, 0, 1, 4, 3, 3, 1, 0, 1, 1, 1, 1, 2, 3, 5, 4, 6, 4, 1, 3, 2, 2, 2, 1, 5, 3, 2, 2, 3, 5, 6, 5, 1, 4, 2, 4, 1, 3, 0, 3, 2, 0, 298
