 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, rowcost
A phrygian (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Eb lydian (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
A lydian (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Eb mixolydian (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
A mixolydian (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Eb aeolian (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
A aeolian (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Eb locrian (3b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
A locrian (3#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0+0:0:0:0:0
Ab major (4b), 6+5:0:0:0:0, 8+3:2:1:0:3, 5+3:0:0:0:0, 5+3:0:0:0:0, 6+1:0:0:0:0, 8+3:2:1:0:3, 5+3:0:0:0:0, 5+3:0:0:0:0, 4+5:0:1:0:0, 4+5:0:0:0:0, 5+1:0:0:0:0, 1+2:0:0:0:0, 6+5:0:0:0:1, 6+2:0:0:0:0, 5+1:0:0:0:0, 4+1:0:0:0:0, 6+2:0:0:0:1, 8+3:2:1:0:3, 6+2:0:0:0:0, 5+2:0:0:0:0, 4+2:0:0:0:0, 4+4:0:0:0:0, 5+1:0:1:0:0, 4+4:0:0:0:0, 3+0:0:0:0:0, 3+2:1:0:0:1, 6+1:0:0:0:0, 6+1:0:0:0:0, 3+0:0:0:0:0, 8+4:0:0:0:0, 5+1:0:0:0:0, 5+1:0:0:0:0, 6+1:0:0:0:0, 8+3:2:1:0:3, 5+4:0:0:0:0, 8+4:0:0:0:1, 7+3:0:0:0:0, 11+8:2:2:0:3, 7+2:0:0:0:0, 8+3:0:1:0:1, 6+4:0:0:0:0, 10+9:0:0:0:1, 5+2:1:0:0:1, 4+1:0:0:0:1, 8+5:0:0:0:0, 7+4:0:0:0:0, 6+2:0:0:0:0, 4+3:0:0:0:1, 6+3:0:1:0:0, 9+4:2:1:0:3, 5+1:0:0:0:0, 6+4:0:0:0:1, 5+6:1:0:0:3, 5+7:2:0:0:0, 4+2:0:0:0:0, 5+4:0:0:0:0, 6+5:0:0:0:1, 3+2:1:0:0:0, 9+5:1:1:0:1, 8+3:0:0:0:0, 3+0:0:0:0:0, 8+4:0:0:0:0, 9+7:0:0:0:2, 5+1:0:0:0:0, 6+1:0:0:0:0, 7+5:4:2:0:5, 5+1:0:0:0:0, 5+1:0:0:0:0, 6+3:0:0:0:0, 8+3:2:1:0:3, 5+1:0:0:0:0, 5+3:0:0:0:0, 4+4:2:0:0:3, 5+5:0:1:0:0, 4+2:0:0:0:0, 6+2:0:0:0:0, 5+1:0:0:0:0, 8+4:1:0:0:1, 6+3:0:0:0:0, 3+1:0:0:0:0, 6+1:0:0:0:0, 9+4:2:1:0:3, 7+3:0:2:0:2, 6+4:0:0:0:0, 3+3:0:0:0:0, 4+7:0:0:0:0, 4+1:0:0:0:0, 5+6:0:0:0:0, 5+3:2:0:0:2, 4+3:2:0:0:2, 7+2:0:0:0:2, 8+3:0:0:0:0, 4+2:0:0:0:0, 7+6:0:0:0:0, 6+2:0:0:0:0, 6+2:0:0:0:0, 5+1:0:0:0:0, 9+3:2:1:0:3, 6+4:0:0:0:0, 5+1:0:0:0:0, 7+2:0:0:0:0, 7+5:3:2:0:5, 6+1:0:0:0:0, 6+5:0:0:0:0, 4+3:0:0:0:0, 8+6:0:0:0:0, 4+3:0:0:0:0, 3+2:0:0:0:1, 6+3:0:0:0:2, 7+9:0:0:0:0, 6+6:0:0:0:2, 5+3:0:0:0:0, 6+3:0:0:0:1, 10+7:3:1:0:4, 8+4:0:0:0:0, 5+2:0:0:0:0, 6+3:0:0:0:0, 6+8:1:0:0:1, 5+3:0:0:0:0, 5+5:0:0:0:0, 4+2:0:0:0:0, 3+4:1:0:0:1, 5+1:0:0:0:0, 5+3:0:0:0:0, 5+3:0:0:0:0, 10+7:0:0:0:1, 6+3:0:0:0:0, 6+1:0:0:0:0, 5+4:0:0:0:0, 10+4:2:1:0:3, 6+3:0:0:0:0, 7+4:0:0:0:0, 6+2:0:0:0:0, 12+5:2:1:0:4, 7+5:0:0:0:1, 8+4:0:0:0:0, 4+4:0:0:0:0, 8+8:0:0:0:3, 5+2:0:0:0:0, 4+3:0:0:0:1, 6+1:0:0:0:1, 8+6:0:0:0:0, 8+3:1:0:0:1, 5+2:1:0:0:2, 7+2:1:0:0:1, 9+8:4:1:0:5, 8+2:0:0:0:0, 8+5:0:0:0:3, 4+5:0:0:0:0, 5+7:0:0:0:0, 4+2:0:0:0:0, 4+4:0:0:0:0, 8+8:5:2:0:5, 5+6:4:0:0:4, 4+0:0:0:0:0, 7+5:0:0:0:1, 4+1:0:0:0:0, 10+8:1:0:0:2, 5+2:0:0:0:0, 5+2:0:0:0:0, 5+3:0:0:0:0, 4+1:0:0:0:0, 6+2:0:0:0:0, 6+4:0:0:0:0, 7+3:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 974+540:65:28:0:116
E major (4#), 1+0:0:0:0:0, 4+3:2:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+3:2:1:0:2, 2+0:0:0:0:0, 2+3:0:0:0:0, 3+2:0:1:0:1, 3+2:0:0:0:0, 3+2:0:0:0:0, 0+0:0:0:0:0, 3+1:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+1:0:0:0:0, 3+5:0:0:0:0, 4+3:2:1:0:2, 4+2:0:0:0:0, 2+2:0:0:0:0, 3+6:0:0:0:0, 3+2:0:0:0:0, 4+2:0:0:0:0, 3+1:0:0:0:0, 2+2:0:0:0:0, 4+2:1:0:0:1, 1+1:0:0:0:0, 1+2:0:2:0:2, 2+3:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 3+3:2:1:0:2, 2+0:0:0:0:0, 4+2:0:0:0:1, 3+1:0:0:0:0, 8+4:2:2:0:3, 4+1:0:0:0:0, 5+3:0:1:0:1, 3+2:0:0:0:0, 7+4:1:0:0:1, 3+3:1:0:0:1, 1+1:0:0:0:0, 2+3:0:0:0:0, 5+3:0:0:0:0, 2+2:0:0:0:0, 2+1:0:0:0:0, 2+1:0:1:0:1, 4+3:2:1:0:2, 2+0:0:0:0:0, 4+4:0:0:0:1, 5+6:1:0:0:1, 4+2:1:0:0:1, 2+3:0:0:0:0, 3+3:0:0:0:0, 4+4:0:0:0:0, 4+3:2:0:0:2, 5+4:1:1:0:1, 2+2:0:0:0:0, 2+1:0:0:0:0, 3+5:0:0:0:0, 7+6:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 4+4:2:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+3:2:1:0:2, 2+0:0:0:0:0, 2+3:0:0:0:0, 3+4:0:0:0:0, 4+2:0:1:0:1, 2+1:0:0:0:0, 2+1:0:0:0:0, 1+0:0:0:0:0, 4+2:0:1:0:1, 2+0:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 5+3:2:1:0:2, 4+2:0:2:0:2, 2+4:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 3+4:0:0:0:0, 3+3:0:0:0:0, 4+3:0:0:0:0, 4+3:2:0:0:2, 3+2:0:0:0:0, 3+3:0:0:0:0, 2+2:0:0:0:0, 2+3:0:0:0:0, 1+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 4+3:2:1:0:2, 2+0:0:0:0:0, 2+0:0:0:0:0, 2+1:0:0:0:0, 3+4:2:1:0:2, 4+1:0:0:0:1, 2+5:0:0:0:0, 4+3:0:0:0:0, 6+3:0:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:2, 2+4:0:0:0:0, 2+3:0:0:0:0, 2+4:0:0:0:0, 7+7:3:1:0:4, 4+4:0:0:0:0, 2+2:0:0:0:0, 3+3:2:0:0:2, 5+2:0:0:0:0, 3+2:0:0:0:0, 3+1:0:0:0:0, 2+4:0:0:0:0, 4+4:1:0:0:1, 0+0:0:0:0:0, 0+3:0:0:0:0, 2+1:0:0:0:0, 7+5:1:1:0:3, 2+0:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 5+3:2:1:0:2, 2+0:0:0:0:0, 4+1:0:0:0:0, 2+1:0:1:0:1, 8+7:2:3:0:4, 4+5:0:1:0:0, 4+4:0:0:0:0, 3+2:0:0:0:0, 4+5:0:0:0:0, 3+3:0:0:0:0, 2+1:0:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:2, 5+3:0:0:0:1, 2+2:0:0:0:0, 2+1:1:0:0:0, 7+5:4:1:0:3, 3+2:2:0:0:0, 6+5:0:0:0:3, 2+1:0:0:0:0, 3+2:0:0:0:0, 2+3:0:0:0:0, 3+1:0:0:0:0, 8+4:1:0:0:1, 6+6:2:0:0:2, 0+0:0:0:0:0, 4+3:0:0:0:0, 2+2:0:0:0:0, 6+6:1:1:0:1, 2+3:0:0:0:0, 2+1:0:0:0:0, 1+1:0:0:0:0, 2+1:0:0:0:0, 2+2:0:0:0:0, 2+0:0:0:0:0, 1+0:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 476+356:54:32:0:77
F minor (4b), 6+0:0:0:0:0, 8+3:2:1:0:2, 5+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:0, 8+3:2:1:0:2, 5+0:0:0:0:0, 5+0:0:0:0:0, 4+1:0:1:0:1, 4+1:0:0:0:0, 5+1:0:0:0:1, 1+0:0:0:0:0, 5+2:1:0:0:1, 6+1:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 6+1:0:0:0:0, 8+3:2:1:0:2, 6+1:0:0:0:1, 5+0:0:0:0:0, 4+2:0:0:0:0, 4+1:0:0:0:0, 5+1:0:1:0:1, 4+1:0:0:0:0, 3+0:0:0:0:0, 3+2:1:0:0:0, 6+1:0:0:0:0, 6+1:0:0:0:0, 3+0:0:0:0:0, 8+1:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 6+3:0:0:0:0, 8+3:2:1:0:2, 5+0:0:0:0:0, 8+2:0:0:0:1, 7+1:0:0:0:0, 11+4:2:2:0:3, 7+1:0:0:0:0, 8+2:0:1:0:2, 5+1:1:0:0:0, 9+4:0:0:0:0, 5+1:1:0:0:0, 4+1:0:0:0:0, 8+2:0:0:0:0, 7+1:0:0:0:1, 6+0:0:0:0:0, 4+1:0:0:0:0, 6+1:0:1:0:1, 9+3:2:1:0:2, 5+0:0:0:0:0, 6+1:0:0:0:1, 5+2:0:0:0:0, 5+3:2:0:0:2, 4+0:0:0:0:0, 5+2:0:0:0:0, 6+1:0:0:0:0, 3+1:1:0:0:1, 9+3:1:1:0:1, 8+2:0:0:0:0, 3+0:0:0:0:0, 7+2:0:0:0:0, 9+4:0:0:0:1, 5+0:0:0:0:0, 6+0:0:0:0:0, 8+4:3:1:0:2, 5+0:0:0:0:0, 5+0:0:0:0:0, 6+0:0:0:0:0, 8+3:2:1:0:2, 5+0:0:0:0:0, 5+0:0:0:0:0, 4+2:2:0:0:0, 6+2:0:0:0:0, 4+0:0:0:0:0, 6+1:0:0:0:1, 5+3:0:0:0:0, 8+2:1:1:0:2, 6+0:0:0:0:0, 3+0:0:0:0:0, 6+0:0:0:0:0, 9+3:2:1:0:2, 7+2:0:2:0:2, 6+0:0:0:0:0, 3+0:0:0:0:0, 4+1:0:0:0:0, 4+3:0:0:0:0, 5+0:0:0:0:0, 5+2:2:0:0:2, 4+2:2:0:0:0, 7+2:0:0:0:2, 8+3:0:0:0:0, 4+0:0:0:0:0, 7+1:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 9+3:2:1:0:2, 6+0:0:0:0:0, 5+0:0:0:0:0, 7+2:0:0:0:0, 8+4:2:1:0:2, 6+1:0:0:0:1, 6+0:0:0:0:0, 4+1:0:0:0:0, 8+2:0:0:0:1, 4+0:0:0:0:0, 2+1:0:0:0:1, 6+1:0:0:0:1, 7+2:0:0:0:2, 6+2:0:0:0:2, 5+0:0:0:0:0, 6+1:0:0:0:0, 10+4:3:1:0:3, 7+1:1:0:0:0, 5+0:0:0:0:0, 5+2:2:0:0:2, 6+3:0:0:0:0, 5+2:0:0:0:0, 5+1:0:0:0:0, 4+0:0:0:0:0, 3+1:1:0:0:0, 5+0:0:0:0:0, 5+2:0:0:0:0, 5+1:0:0:0:0, 10+8:0:0:0:4, 6+0:0:0:0:0, 6+0:0:0:0:0, 5+0:0:0:0:0, 9+4:3:1:0:3, 6+0:0:0:0:0, 7+1:0:0:0:0, 6+1:0:1:0:1, 12+8:2:3:0:6, 7+2:0:0:0:0, 8+1:0:0:0:1, 4+0:0:0:0:0, 7+2:0:0:0:2, 5+3:0:0:0:0, 4+1:0:0:0:0, 6+2:0:0:0:2, 8+2:0:0:0:2, 8+2:1:0:0:2, 5+2:1:0:0:1, 7+1:1:0:0:0, 9+5:1:1:0:4, 7+2:2:0:0:0, 8+5:0:0:0:3, 4+1:0:0:0:0, 5+3:0:0:0:0, 4+0:0:0:0:0, 4+1:0:0:0:0, 8+6:5:2:0:3, 5+4:4:0:0:0, 4+0:0:0:0:0, 7+2:0:0:0:2, 4+0:0:0:0:0, 10+5:0:0:0:3, 5+0:0:0:0:0, 5+0:0:0:0:0, 5+0:0:0:0:0, 4+0:0:0:0:0, 6+0:0:0:0:0, 6+0:0:0:0:0, 7+1:0:0:0:0, 1+0:0:0:0:0, 1+0:0:0:0:0, 967+227:65:29:0:100
C# minor (4#), 1+1:0:0:0:0, 4+6:2:1:0:3, 2+3:0:0:0:0, 2+3:0:0:0:0, 1+1:0:0:0:0, 4+6:2:1:0:3, 2+3:0:0:0:0, 2+3:0:0:0:0, 3+2:0:1:0:1, 3+2:0:0:0:0, 3+1:0:0:0:0, 0+0:0:0:0:0, 3+2:0:0:0:0, 1+2:0:0:0:0, 2+1:0:0:0:0, 1+1:0:0:0:0, 3+5:0:0:0:0, 4+4:2:1:0:3, 4+2:0:0:0:0, 2+2:0:0:0:0, 3+6:0:0:0:0, 3+2:0:0:0:0, 4+2:0:0:0:0, 3+1:0:0:0:0, 2+2:0:0:0:0, 4+2:1:0:0:1, 1+1:0:0:0:0, 1+2:0:2:0:2, 2+3:0:0:0:0, 2+4:0:0:0:0, 1+1:0:0:0:0, 2+1:0:0:0:0, 1+1:0:0:0:0, 3+4:2:1:0:3, 2+4:0:0:0:0, 4+4:0:0:0:1, 3+3:0:0:0:0, 8+8:2:2:0:3, 4+2:0:0:0:0, 5+3:0:1:0:1, 3+2:0:0:0:0, 7+4:1:0:0:1, 3+3:1:0:0:1, 1+1:0:0:0:0, 2+3:0:0:0:0, 5+3:0:0:0:0, 2+2:0:0:0:0, 2+3:0:0:0:1, 2+1:0:0:0:0, 4+4:2:1:0:3, 2+1:0:0:0:0, 4+4:0:0:0:1, 5+6:1:0:0:1, 4+2:1:0:0:1, 2+3:0:0:0:0, 3+3:0:0:0:0, 4+4:0:0:0:0, 4+3:2:0:0:2, 5+5:1:1:0:1, 2+3:0:0:0:0, 2+0:0:0:0:0, 3+4:0:0:0:0, 7+6:0:0:0:0, 2+1:0:0:0:0, 1+1:0:0:0:0, 4+5:2:1:0:3, 2+1:0:0:0:0, 2+1:0:0:0:0, 1+3:0:0:0:0, 4+5:2:1:0:3, 2+1:0:0:0:0, 2+3:0:0:0:0, 3+4:0:0:0:0, 4+2:0:1:0:1, 2+1:0:0:0:0, 2+2:0:0:0:0, 1+1:0:0:0:0, 4+4:0:0:0:0, 2+3:0:0:0:0, 1+1:0:0:0:0, 1+3:0:0:0:0, 5+6:2:1:0:3, 4+3:0:2:0:2, 2+4:0:0:0:0, 3+1:0:0:0:0, 3+1:0:0:0:0, 3+4:0:0:0:0, 3+3:0:0:0:0, 4+3:0:0:0:0, 4+3:2:0:0:2, 3+2:0:0:0:0, 3+3:0:0:0:0, 2+2:0:0:0:0, 2+6:0:0:0:0, 1+2:0:0:0:0, 2+2:0:0:0:0, 1+1:0:0:0:0, 4+4:2:1:0:3, 2+4:0:0:0:0, 2+1:0:0:0:0, 2+2:0:0:0:0, 4+5:2:1:0:3, 4+1:0:0:0:0, 2+5:0:0:0:0, 4+3:0:0:0:0, 6+3:0:0:0:0, 2+3:0:0:0:0, 2+2:0:0:0:1, 2+3:0:0:0:2, 2+4:0:0:0:0, 2+6:0:0:0:2, 2+3:0:0:0:0, 2+1:0:0:0:0, 7+7:3:1:0:4, 4+4:0:0:0:0, 2+2:0:0:0:0, 3+3:2:0:0:2, 5+2:0:0:0:0, 3+2:0:0:0:0, 3+1:0:0:0:0, 2+4:0:0:0:0, 4+4:1:0:0:1, 0+0:0:0:0:0, 0+0:0:0:0:0, 2+3:0:0:0:0, 7+7:1:1:0:1, 2+3:0:0:0:0, 2+1:0:0:0:0, 1+1:0:0:0:0, 5+4:2:1:0:3, 2+3:0:0:0:0, 4+4:0:0:0:0, 2+2:0:0:0:0, 8+5:2:1:0:4, 4+5:0:1:0:0, 4+4:0:0:0:0, 3+2:0:0:0:0, 4+5:0:0:0:0, 3+3:0:0:0:0, 2+1:0:0:0:0, 2+3:0:0:0:0, 2+4:0:0:0:2, 5+3:0:0:0:1, 2+2:0:0:0:1, 2+2:1:0:0:1, 8+7:3:1:0:4, 5+2:0:0:0:0, 6+5:0:0:0:3, 2+1:0:0:0:0, 3+2:0:0:0:0, 2+3:0:0:0:0, 3+1:0:0:0:0, 8+4:1:0:0:1, 6+6:2:0:0:2, 0+0:0:0:0:0, 4+3:0:0:0:0, 2+2:0:0:0:0, 6+8:1:1:0:1, 2+2:0:0:0:0, 2+2:0:0:0:0, 1+1:0:0:0:0, 2+1:0:0:0:0, 2+2:0:0:0:0, 2+4:0:0:0:0, 1+3:0:0:0:0, 0+0:0:0:0:0, 0+0:0:0:0:0, 480+469:51:27:0:89
