 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
A minor (0), 2, 1, 1,  , 1, 2, 0, 0, 0, 2, 0,  , 5, 1, 3, 7, 3,  , 0, 1, 3, 1, 3,  , 1, 2, 3, 0, 1, 6, 2, 3, 2, 9, 3, 1, 0, 69
A minor mel (0), 2, 1, 1,  , 1, 2, 0, 0, 0, 2, 0,  , 5, 1, 3, 7, 3,  , 0, 1, 3, 1, 3,  , 1, 2, 3, 0, 1, 6, 2, 3, 2, 9, 3, 1, 0, 69
C major blues (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
A minor blues (0), 2, 1, 1,  , 1, 2, 0, 0, 0, 2, 0,  , 5, 1, 3, 7, 3,  , 0, 1, 3, 1, 3,  , 1, 2, 3, 0, 1, 6, 2, 3, 2, 9, 3, 1, 0, 69
C dorian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
C phrygian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
C lydian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
C mixolydian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
C aeolian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
C locrian (0), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
F major (1b), 2, 1, 0,  , 0, 1, 0, 0, 0, 2, 0,  , 3, 1, 6, 6, 1,  , 1, 0, 2, 2, 3,  , 2, 1, 2, 0, 1, 3, 3, 5, 3, 5, 5, 2, 0, 63
G major (1#), 3, 2, 2,  , 2, 2, 0, 0, 1, 2, 0,  , 4, 2, 5, 8, 3,  , 0, 1, 4, 2, 3,  , 3, 3, 3, 0, 2, 5, 3, 2, 3, 7, 4, 2, 0, 83
D minor (1b), 3, 1, 0,  , 0, 2, 0, 0, 0, 3, 0,  , 4, 1, 5, 6, 1,  , 1, 0, 2, 2, 3,  , 2, 2, 2, 0, 1, 3, 3, 4, 3, 6, 5, 2, 0, 67
E minor (1#), 3, 2, 2,  , 5, 3, 0, 0, 1, 3, 0,  , 6, 2, 4, 9, 5,  , 0, 1, 5, 2, 4,  , 2, 3, 3, 0, 2, 9, 3, 3, 3, 10, 3, 2, 0, 100
D minor mel (1b), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
E minor mel (1#), 2, 1, 1,  , 1, 2, 0, 0, 0, 2, 0,  , 5, 1, 3, 7, 3,  , 0, 1, 3, 1, 3,  , 1, 2, 3, 0, 1, 6, 2, 3, 2, 9, 3, 1, 0, 69
F major blues (1b), 2, 1, 1,  , 1, 2, 0, 0, 0, 2, 0,  , 5, 1, 3, 7, 3,  , 0, 1, 3, 1, 3,  , 1, 2, 3, 0, 1, 6, 2, 3, 2, 9, 3, 1, 0, 69
G major blues (1#), 2, 1, 1,  , 1, 1, 0, 0, 0, 1, 0,  , 4, 1, 4, 7, 2,  , 0, 1, 3, 1, 2,  , 2, 2, 3, 0, 1, 4, 2, 4, 2, 6, 4, 1, 0, 63
D minor blues (1b), 2, 1, 1,  , 1, 2, 0, 0, 0, 2, 0,  , 5, 1, 3, 7, 3,  , 0, 1, 3, 1, 3,  , 1, 2, 3, 0, 1, 6, 2, 3, 2, 9, 3, 1, 0, 69
