 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, rowcost
Eb major (3b), 1/0, 1/0, 0/0, 0/0, 1/1, 2/1, 3/2, 1/1, 1/2, 2/1, 2/1, 1/1, 2/2, 1/0, 2/1, 0/0, 1/1, 1/2, 2/2, 1/1, 1/2, 2/1, 3/2, 1/1, 1/2, 1/0, 1/1, 1/0, 1/0, 2/1, 1/1, 1/1, 2/1, 1/1, 2/2, 1/0, 2/1, 2/1, 2/2, 2/2, 2/2, 1/0, 1/0, 59/43
A major (3#), 1/1, 2/1, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 2/1, 0/0, 1/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/0, 2/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 0/0, 0/0, 27/5
C minor (3b), 1/0, 1/2, 0/0, 0/0, 1/0, 2/0, 3/1, 1/0, 1/0, 2/0, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 3/1, 1/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 2/1, 1/0, 2/0, 2/0, 2/0, 2/0, 2/0, 1/0, 1/0, 55/7
F# minor (3#), 1/1, 2/1, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 2/1, 0/0, 1/1, 2/2, 1/2, 1/1, 1/1, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 3/1, 3/1, 0/0, 0/0, 1/1, 0/0, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 2/2, 3/3, 0/0, 0/0, 35/25
Ab major (4b), 4/4, 3/2, 0/0, 0/0, 1/1, 3/3, 3/4, 1/1, 1/2, 3/3, 3/3, 1/1, 2/2, 3/2, 3/1, 0/0, 2/2, 1/2, 3/2, 1/1, 1/2, 3/3, 3/4, 1/1, 1/2, 2/2, 1/1, 2/2, 3/2, 3/1, 1/1, 2/1, 2/3, 1/1, 2/2, 2/2, 3/3, 3/5, 4/4, 4/4, 4/3, 2/2, 2/2, 90/89
E major (4#), 2/1, 3/1, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 2/1, 1/0, 2/0, 2/0, 2/1, 1/0, 2/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 3/1, 2/1, 0/0, 1/0, 2/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 2/1, 3/1, 0/0, 0/0, 40/10
F minor (4b), 2/0, 2/0, 0/0, 0/0, 1/0, 2/1, 3/1, 1/0, 1/0, 2/1, 2/1, 1/0, 1/0, 2/0, 2/0, 0/0, 2/0, 1/0, 2/0, 1/0, 1/0, 2/1, 3/1, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 2/0, 1/0, 2/0, 2/1, 1/0, 2/1, 1/0, 2/0, 2/0, 3/0, 3/0, 3/1, 1/0, 1/0, 67/9
C# minor (4#), 2/1, 4/2, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 2/1, 2/2, 0/0, 3/1, 1/0, 2/1, 3/4, 2/3, 1/0, 2/1, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 4/1, 4/1, 0/0, 1/0, 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 3/3, 3/3, 5/5, 0/0, 0/0, 54/33
Db major (5b), 5/8, 5/4, 0/0, 0/0, 1/1, 3/3, 3/4, 1/1, 1/2, 3/3, 4/3, 1/1, 3/2, 4/6, 4/5, 1/0, 3/3, 1/0, 4/3, 1/0, 1/0, 3/3, 3/4, 1/1, 1/2, 3/3, 2/1, 2/2, 4/4, 4/3, 1/0, 3/3, 2/3, 1/1, 2/0, 2/2, 3/3, 3/5, 5/6, 5/6, 6/5, 2/2, 2/2, 109/110
B major (5#), 3/1, 4/2, 1/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 2/1, 2/1, 0/0, 2/1, 2/0, 2/1, 2/0, 2/2, 1/0, 2/1, 0/0, 0/0, 2/0, 1/0, 0/0, 0/0, 2/1, 3/1, 1/0, 2/0, 2/1, 0/0, 2/1, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 3/1, 3/1, 4/1, 1/0, 1/0, 60/18
Bb minor (5b), 2/0, 3/0, 0/0, 0/0, 1/0, 2/1, 3/2, 1/0, 1/0, 2/1, 3/1, 1/0, 2/0, 2/0, 2/0, 1/0, 2/1, 1/0, 3/1, 1/1, 1/2, 2/1, 3/2, 1/0, 1/0, 2/1, 2/0, 1/0, 2/0, 2/1, 1/0, 2/1, 2/1, 1/0, 2/1, 1/0, 2/0, 2/1, 3/2, 3/2, 4/1, 1/0, 1/0, 75/24
G# minor (5#), 4/5, 6/4, 1/0, 1/0, 0/0, 3/1, 1/0, 0/0, 0/0, 3/1, 3/1, 0/0, 3/1, 3/4, 3/5, 3/4, 3/4, 1/0, 3/3, 0/0, 0/0, 3/1, 1/0, 0/0, 0/0, 3/1, 4/1, 1/0, 3/2, 3/3, 0/0, 3/4, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 5/4, 5/4, 7/6, 1/0, 1/0, 85/59
Gb major (6b), 5/8, 6/6, 0/0, 0/0, 1/0, 4/3, 2/2, 1/0, 1/0, 4/3, 4/5, 1/1, 4/4, 4/6, 4/5, 3/2, 4/3, 0/0, 3/3, 1/0, 1/0, 4/3, 2/2, 1/0, 1/0, 4/4, 3/3, 2/2, 4/4, 4/3, 0/1, 4/3, 2/3, 1/1, 1/3, 2/2, 3/3, 2/5, 6/6, 6/6, 8/7, 2/2, 2/2, 117/116
F# major (6#), 3/1, 3/1, 0/0, 0/0, 1/0, 3/1, 1/0, 1/0, 1/0, 3/1, 2/1, 1/0, 3/1, 2/0, 3/1, 2/2, 3/2, 0/0, 2/1, 1/0, 1/0, 3/1, 1/0, 1/0, 1/0, 2/1, 2/2, 1/0, 2/0, 3/1, 0/0, 3/2, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 4/2, 4/2, 5/3, 1/0, 1/0, 77/26
Eb minor (6b), 2/2, 3/1, 0/0, 0/0, 1/0, 3/1, 2/2, 1/1, 1/2, 3/1, 2/1, 1/1, 3/2, 2/0, 3/1, 2/0, 3/1, 0/0, 2/1, 1/0, 1/0, 3/1, 2/2, 1/1, 1/2, 2/1, 2/1, 1/0, 2/0, 3/1, 0/0, 3/1, 2/1, 1/1, 1/0, 1/0, 2/1, 1/1, 4/2, 4/2, 5/1, 1/0, 1/0, 79/36
D# minor (6#), 4/9, 6/6, 0/0, 0/0, 1/0, 4/3, 3/2, 1/0, 1/0, 4/3, 4/2, 1/0, 4/1, 4/6, 4/5, 3/4, 4/4, 0/0, 3/3, 1/0, 1/0, 4/3, 3/2, 1/0, 1/0, 4/2, 3/1, 2/2, 4/4, 4/3, 0/0, 4/2, 3/2, 1/0, 1/0, 2/2, 3/2, 2/4, 6/6, 6/6, 8/8, 2/2, 2/2, 119/101
Cb major (7b), 5/8, 7/6, 1/0, 1/0, 0/0, 4/5, 2/2, 0/0, 0/0, 4/5, 4/5, 0/1, 3/4, 4/6, 3/5, 4/6, 4/7, 1/2, 4/6, 0/1, 0/2, 4/5, 2/2, 0/0, 0/0, 4/4, 4/3, 2/2, 4/4, 3/3, 0/1, 4/7, 2/3, 0/1, 0/0, 2/2, 2/3, 2/5, 6/10, 6/10, 8/11, 2/2, 2/2, 110/151
C# major (7#), 3/1, 4/2, 0/0, 0/0, 1/0, 2/1, 2/0, 1/0, 1/0, 2/1, 4/2, 1/0, 4/1, 2/0, 3/3, 2/4, 2/1, 1/0, 3/1, 1/0, 1/0, 2/1, 2/0, 1/0, 1/0, 3/1, 3/1, 1/0, 2/0, 3/2, 1/0, 2/1, 1/0, 1/0, 2/0, 1/0, 2/0, 2/0, 3/3, 3/3, 5/5, 1/0, 1/0, 83/34
Ab minor (7b), 4/4, 5/2, 1/0, 1/0, 0/0, 4/3, 2/2, 0/0, 0/0, 4/3, 3/3, 0/1, 2/2, 3/2, 2/1, 2/0, 2/2, 1/0, 2/1, 0/0, 0/0, 4/3, 2/2, 0/0, 0/0, 3/2, 3/1, 2/2, 3/2, 2/1, 0/1, 2/1, 2/3, 0/1, 0/0, 2/2, 2/3, 2/5, 5/4, 5/4, 6/3, 2/2, 2/2, 87/70
A# minor (7#), 4/4, 6/6, 0/0, 0/0, 2/2, 3/3, 4/2, 2/2, 2/4, 3/3, 5/2, 2/2, 4/5, 4/6, 4/7, 2/4, 4/4, 1/0, 4/1, 2/2, 2/4, 3/3, 4/2, 2/2, 2/4, 4/2, 4/3, 2/2, 4/4, 4/5, 1/0, 4/4, 3/2, 2/2, 3/2, 2/2, 4/4, 3/4, 5/6, 5/6, 7/8, 2/2, 2/2, 132/134
