 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, rowcost
C major (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
A minor (0), 4, 5, 4,  , 8, 1, 2, 6, 4, 4, 1, 1, 4, 5, 4, 5, 4,  ,  ,  , 1, 4, 1, 2, 6, 2, 3, 3, 3,  , 3, 6, 4, 4, 1,  , 4, 5, 1, 2, 7, 6, 4, 6, 5, 3, 1, 0, 2, 4, 1, 1, 3, 5, 0, 3, 2, 4, 0, 2, 1, 177
A minor mel (0), 4, 5, 4,  , 8, 1, 2, 6, 4, 4, 1, 1, 4, 5, 4, 5, 4,  ,  ,  , 1, 4, 1, 2, 6, 2, 3, 3, 3,  , 3, 6, 4, 4, 1,  , 4, 5, 1, 2, 7, 6, 4, 6, 5, 3, 1, 0, 2, 4, 1, 1, 3, 5, 0, 3, 2, 4, 0, 2, 1, 177
C major blues (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
A minor blues (0), 4, 5, 4,  , 8, 1, 2, 6, 4, 4, 1, 1, 4, 5, 4, 5, 4,  ,  ,  , 1, 4, 1, 2, 6, 2, 3, 3, 3,  , 3, 6, 4, 4, 1,  , 4, 5, 1, 2, 7, 6, 4, 6, 5, 3, 1, 0, 2, 4, 1, 1, 3, 5, 0, 3, 2, 4, 0, 2, 1, 177
C dorian (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
C phrygian (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
C lydian (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
C mixolydian (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
C aeolian (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
