 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, rowcost
C major (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
A minor (0), 4, 5, 3,  , 7, 1, 3, 5, 5, 3, 2, 1, 4, 5, 3, 6, 5,  ,  ,  , 1, 3, 2, 2, 6, 3, 3, 2, 3,  , 4, 5, 5, 5, 1,  , 4, 4, 1, 1, 8, 5, 5, 5, 6, 3, 1, 1, 2, 5, 2, 2, 4, 4, 0, 2, 3, 4, 1, 3, 2, 185
A minor mel (0), 5, 6, 3,  , 8, 2, 2, 6, 5, 4, 2, 1, 5, 6, 3, 5, 6,  ,  ,  , 1, 4, 2, 2, 7, 2, 4, 1, 4,  , 5, 6, 4, 6, 2,  , 4, 5, 2, 1, 9, 4, 6, 6, 5, 4, 1, 2, 2, 6, 3, 3, 4, 5, 1, 1, 3, 3, 2, 4, 3, 208
C major blues (0), 5, 5, 4,  , 6, 2, 2, 4, 3, 5, 1, 1, 5, 5, 4, 6, 4,  ,  ,  , 1, 5, 1, 3, 7, 2, 5, 3, 4,  , 4, 4, 3, 4, 2,  , 3, 6, 2, 2, 7, 5, 5, 4, 3, 3, 1, 1, 2, 4, 2, 2, 3, 5, 1, 2, 2, 4, 2, 3, 2, 186
A minor blues (0), 5, 6, 4,  , 9, 2, 2, 8, 4, 5, 1, 1, 5, 6, 4, 6, 5,  ,  ,  , 1, 5, 1, 3, 7, 2, 5, 3, 4,  , 4, 8, 4, 5, 2,  , 4, 6, 2, 2, 8, 6, 5, 8, 5, 4, 1, 1, 2, 5, 2, 2, 3, 6, 1, 3, 2, 5, 2, 3, 2, 217
C dorian (0), 5, 5, 4,  , 6, 2, 1, 3, 3, 5, 1, 1, 5, 5, 4, 4, 4,  ,  ,  , 1, 5, 1, 3, 7, 1, 5, 2, 4,  , 4, 3, 2, 4, 2,  , 3, 6, 2, 2, 7, 4, 5, 3, 2, 3, 1, 1, 2, 4, 2, 2, 3, 5, 1, 1, 2, 2, 1, 3, 2, 171
C phrygian (0), 3, 3, 3,  , 4, 0, 1, 3, 2, 3, 0, 0, 3, 3, 3, 4, 2,  ,  ,  , 1, 3, 0, 2, 5, 1, 3, 2, 2,  , 2, 3, 2, 2, 0,  , 2, 4, 0, 1, 5, 5, 3, 3, 2, 1, 0, 0, 1, 2, 0, 1, 2, 3, 0, 2, 1, 4, 1, 1, 0, 109
C lydian (0), 5, 5, 4,  , 6, 2, 1, 3, 3, 5, 1, 1, 5, 5, 4, 4, 4,  ,  ,  , 1, 5, 1, 3, 7, 1, 5, 2, 4,  , 4, 3, 2, 4, 2,  , 3, 6, 2, 2, 7, 4, 5, 3, 2, 3, 1, 1, 2, 4, 2, 2, 3, 5, 1, 1, 2, 2, 1, 3, 2, 171
C mixolydian (0), 3, 3, 3,  , 4, 0, 1, 3, 2, 3, 0, 0, 3, 3, 3, 4, 2,  ,  ,  , 1, 3, 0, 2, 5, 1, 3, 2, 2,  , 2, 3, 2, 2, 0,  , 2, 4, 0, 1, 5, 5, 3, 3, 2, 1, 0, 0, 1, 2, 0, 1, 2, 3, 0, 2, 1, 4, 1, 1, 0, 109
C aeolian (0), 4, 4, 4,  , 5, 1, 2, 2, 3, 4, 1, 1, 4, 4, 4, 5, 3,  ,  ,  , 1, 4, 1, 3, 6, 2, 4, 3, 3,  , 3, 2, 3, 3, 1,  , 3, 5, 1, 2, 6, 5, 4, 2, 3, 2, 1, 0, 2, 3, 1, 1, 3, 4, 0, 2, 2, 3, 0, 2, 1, 148
