 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
C major (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
A minor (0), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
A minor mel (0), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
C major blues (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
A minor blues (0), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
C dorian (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
C phrygian (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
C lydian (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
C mixolydian (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
C aeolian (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
C locrian (0), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
F major (1b), 0, 0, 1,  , 1, 0, 1, 3, 1, 3, 0, 0, 0, 0, 1, 3, 2, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 1, 3, 1, 2, 1, 2, 0, 0, 2, 0, 1, 4, 1, 0, 46
G major (1#), 1, 2, 1,  , 2, 1, 3, 3, 3, 6, 1, 1, 2, 1, 2, 3, 4, 5, 1, 0, 1, 4, 4, 0, 2, 2, 1, 1, 2, 4, 1, 1, 2, 2, 1, 0, 3, 3, 4, 2, 2, 1, 2, 1, 1, 4, 8, 2, 1, 104
D minor (1b), 0, 0, 1,  , 2, 0, 1, 3, 1, 4, 0, 0, 0, 0, 1, 4, 3, 3, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 0, 0, 1, 4, 1, 3, 1, 2, 0, 0, 2, 0, 2, 6, 2, 0, 59
E minor (1#), 1, 5, 1,  , 3, 1, 5, 4, 5, 5, 1, 1, 2, 2, 3, 5, 4, 4, 2, 0, 1, 5, 7, 0, 2, 3, 1, 1, 2, 6, 2, 1, 2, 4, 2, 0, 4, 3, 6, 4, 2, 1, 2, 2, 1, 5, 9, 3, 1, 136
D minor mel (1b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
E minor mel (1#), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
F major blues (1b), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
G major blues (1#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
D minor blues (1b), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
E minor blues (1#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
F dorian (1b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
G dorian (1#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
F phrygian (1b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
G phrygian (1#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
F lydian (1b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
G lydian (1#), 0, 0, 1,  , 1, 0, 1, 3, 1, 3, 0, 0, 0, 0, 1, 3, 2, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 1, 3, 1, 2, 1, 2, 0, 0, 2, 0, 1, 4, 1, 0, 46
F mixolydian (1b), 1, 2, 1,  , 2, 1, 3, 3, 3, 6, 1, 1, 2, 1, 2, 3, 4, 5, 1, 0, 1, 4, 4, 0, 2, 2, 1, 1, 2, 4, 1, 1, 2, 2, 1, 0, 3, 3, 4, 2, 2, 1, 2, 1, 1, 4, 8, 2, 1, 104
G mixolydian (1#), 0, 0, 1,  , 2, 0, 1, 3, 1, 4, 0, 0, 0, 0, 1, 4, 3, 3, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 0, 0, 1, 4, 1, 3, 1, 2, 0, 0, 2, 0, 2, 6, 2, 0, 59
F aeolian (1b), 1, 5, 1,  , 3, 1, 5, 4, 5, 5, 1, 1, 2, 2, 3, 5, 4, 4, 2, 0, 1, 5, 7, 0, 2, 3, 1, 1, 2, 6, 2, 1, 2, 4, 2, 0, 4, 3, 6, 4, 2, 1, 2, 2, 1, 5, 9, 3, 1, 136
G aeolian (1#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
F locrian (1b), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
G locrian (1#), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
Bb major (2b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
D major (2#), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
G minor (2b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
B minor (2#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
G minor mel (2b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
B minor mel (2#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
Bb major blues (2b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
D major blues (2#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
G minor blues (2b), 0, 0, 1,  , 1, 0, 1, 3, 1, 3, 0, 0, 0, 0, 1, 3, 2, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 1, 3, 1, 2, 1, 2, 0, 0, 2, 0, 1, 4, 1, 0, 46
B minor blues (2#), 1, 2, 1,  , 2, 1, 3, 3, 3, 6, 1, 1, 2, 1, 2, 3, 4, 5, 1, 0, 1, 4, 4, 0, 2, 2, 1, 1, 2, 4, 1, 1, 2, 2, 1, 0, 3, 3, 4, 2, 2, 1, 2, 1, 1, 4, 8, 2, 1, 104
Bb dorian (2b), 0, 0, 1,  , 2, 0, 1, 3, 1, 4, 0, 0, 0, 0, 1, 4, 3, 3, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 0, 0, 1, 4, 1, 3, 1, 2, 0, 0, 2, 0, 2, 6, 2, 0, 59
D dorian (2#), 1, 5, 1,  , 3, 1, 5, 4, 5, 5, 1, 1, 2, 2, 3, 5, 4, 4, 2, 0, 1, 5, 7, 0, 2, 3, 1, 1, 2, 6, 2, 1, 2, 4, 2, 0, 4, 3, 6, 4, 2, 1, 2, 2, 1, 5, 9, 3, 1, 136
Bb phrygian (2b), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
D phrygian (2#), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
Bb lydian (2b), 0, 1, 1,  , 2, 0, 2, 4, 2, 5, 0, 0, 1, 1, 2, 6, 3, 4, 1, 1, 1, 3, 3, 0, 1, 1, 0, 0, 1, 5, 1, 2, 3, 1, 1, 0, 4, 2, 5, 3, 1, 1, 1, 3, 1, 3, 7, 3, 0, 93
D lydian (2#), 0, 1, 1,  , 1, 0, 2, 4, 2, 4, 0, 0, 1, 1, 1, 4, 3, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 1, 0, 2, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 73
