 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, rowcost
C major (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
A minor (0), 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 3, 1, 1, 0, 5, 3, 0,  , 2, 1, 0,  , 3, 4, 3, 1, 2, 0, 1,  , 7, 3, 3, 0, 4, 4, 4, 2, 1, 4, 1, 4, 1, 4, 1, 0, 2, 3, 1,  , 2, 2, 0, 2, 2, 2, 1, 0, 0, 118
A minor mel (0), 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 3, 1, 1, 0, 5, 3, 0,  , 2, 1, 0,  , 3, 4, 3, 1, 2, 0, 1,  , 7, 3, 3, 0, 4, 4, 4, 2, 1, 4, 1, 4, 1, 4, 1, 0, 2, 3, 1,  , 2, 2, 0, 2, 2, 2, 1, 0, 0, 118
C major blues (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
A minor blues (0), 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 3, 1, 1, 0, 5, 3, 0,  , 2, 1, 0,  , 3, 4, 3, 1, 2, 0, 1,  , 7, 3, 3, 0, 4, 4, 4, 2, 1, 4, 1, 4, 1, 4, 1, 0, 2, 3, 1,  , 2, 2, 0, 2, 2, 2, 1, 0, 0, 118
C dorian (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
C phrygian (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
C lydian (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
C mixolydian (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
C aeolian (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
C locrian (0), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
F major (1b), 0, 3, 0, 0, 2, 1, 2, 0, 3, 3, 0, 0, 0, 3, 0, 0, 2, 1, 2, 0, 3, 3, 0, 0, 0, 3, 0, 1, 0, 2, 3, 0,  , 1, 0, 0,  , 2, 3, 3, 1, 1, 0, 0,  , 6, 2, 2, 0, 2, 2, 2, 1, 1, 2, 0, 2, 0, 2, 0, 0, 1, 2, 1,  , 1, 1, 0, 1, 2, 2, 0, 0, 0, 83
G major (1#), 0, 3, 1, 1, 3, 3, 4, 1, 2, 2, 1, 1, 1, 3, 1, 1, 3, 3, 4, 1, 2, 2, 1, 1, 1, 5, 2, 2, 1, 4, 5, 0,  , 3, 2, 1,  , 4, 5, 5, 2, 3, 1, 1,  , 6, 4, 4, 1, 4, 4, 4, 3, 1, 4, 1, 2, 2, 5, 1, 0, 3, 3, 2,  , 3, 3, 1, 1, 1, 4, 2, 1, 0, 162
D minor (1b), 0, 2, 0, 0, 2, 1, 2, 0, 3, 2, 0, 0, 0, 2, 0, 0, 2, 1, 2, 0, 3, 2, 0, 0, 0, 2, 0, 1, 0, 3, 2, 0,  , 1, 0, 0,  , 2, 3, 2, 1, 1, 0, 0,  , 6, 2, 3, 0, 2, 2, 3, 2, 1, 3, 0, 2, 0, 3, 0, 0, 1, 3, 1,  , 1, 1, 0, 1, 1, 2, 0, 0, 0, 82
E minor (1#), 0, 2, 1, 1, 3, 3, 4, 1, 2, 2, 1, 1, 1, 2, 1, 1, 3, 3, 4, 1, 2, 2, 1, 1, 1, 3, 3, 2, 1, 6, 5, 0,  , 3, 3, 1,  , 3, 3, 3, 2, 3, 1, 4,  , 6, 9, 4, 1, 6, 5, 6, 3, 1, 5, 1, 4, 2, 7, 2, 0, 4, 4, 2,  , 3, 3, 1, 2, 1, 3, 3, 1, 0, 179
D minor mel (1b), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
E minor mel (1#), 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 3, 1, 1, 0, 5, 3, 0,  , 2, 1, 0,  , 3, 4, 3, 1, 2, 0, 1,  , 7, 3, 3, 0, 4, 4, 4, 2, 1, 4, 1, 4, 1, 4, 1, 0, 2, 3, 1,  , 2, 2, 0, 2, 2, 2, 1, 0, 0, 118
F major blues (1b), 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 3, 1, 1, 0, 5, 3, 0,  , 2, 1, 0,  , 3, 4, 3, 1, 2, 0, 1,  , 7, 3, 3, 0, 4, 4, 4, 2, 1, 4, 1, 4, 1, 4, 1, 0, 2, 3, 1,  , 2, 2, 0, 2, 2, 2, 1, 0, 0, 118
G major blues (1#), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
D minor blues (1b), 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 1, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 3, 1, 1, 0, 5, 3, 0,  , 2, 1, 0,  , 3, 4, 3, 1, 2, 0, 1,  , 7, 3, 3, 0, 4, 4, 4, 2, 1, 4, 1, 4, 1, 4, 1, 0, 2, 3, 1,  , 2, 2, 0, 2, 2, 2, 1, 0, 0, 118
E minor blues (1#), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
F dorian (1b), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
G dorian (1#), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
F phrygian (1b), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
G phrygian (1#), 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0, 4, 1, 1, 0, 3, 4, 0,  , 2, 1, 0,  , 3, 4, 4, 1, 2, 0, 1,  , 7, 3, 2, 0, 3, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 0, 2, 2, 1,  , 2, 2, 0, 2, 2, 3, 1, 0, 0, 113
