 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, rowcost
C major (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
A minor (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
A minor mel (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C major blues (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
A minor blues (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C dorian (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C phrygian (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C lydian (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C mixolydian (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C aeolian (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
C locrian (0), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 3:2:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 3:2:0:0:0, 2:2:0:0:0, 2:2:0:0:1, 3:2:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 1:1:0:0:1, 2:2:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:2:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 3:3:0:0:2, 0:0:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 36:33:0:0:13
F major (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 4:0:0:0:0, 2:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 40:9:2:0:11
G major (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:1:0:3, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 4:2:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 52:3:1:0:23
D minor (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 4:0:0:0:0, 2:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 40:9:2:0:11
E minor (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:1:0:3, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 4:2:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 52:3:1:0:23
D minor mel (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 4:0:0:0:0, 2:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 40:9:2:0:11
E minor mel (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:1:0:3, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 4:2:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 52:3:1:0:23
F major blues (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 4:0:0:0:0, 2:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 40:9:2:0:11
G major blues (1#), 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:1:0:3, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 4:2:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 52:3:1:0:23
D minor blues (1b), 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 3:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 3:1:0:0:1, 4:0:0:0:0, 2:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:1:1:0:2, 0:0:0:0:0, 1:0:1:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 40:9:2:0:11
