 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
C major (0), 6, 0, 0, 2, 1, 3, 6, 0, 1, 2, 0, 0, 0, 0, 0, 2, 2, 1,  , 3, 1, 2, 5, 0, 1, 1, 0, 0, 1, 0, 1, 2,  , 0, 2, 2,  , 0, 0, 0, 1, 1, 1, 2, 2, 0, 2, 0, 0, 0, 56
A minor (0), 6, 1, 1, 3, 2, 3, 5, 1, 2, 0, 1, 0, 1, 0, 0, 3, 1, 2,  , 4, 2, 4, 7, 1, 1, 2, 1, 0, 1, 1, 4, 2,  , 0, 1, 3,  , 1, 1, 0, 1, 2, 1, 3, 4, 1, 1, 1, 0, 1, 83
A minor mel (0), 5, 2, 1, 3, 2, 2, 6, 2, 2, 0, 1, 1, 2, 1, 0, 4, 1, 3,  , 4, 2, 5, 8, 1, 2, 3, 2, 0, 1, 2, 4, 2,  , 1, 2, 3,  , 2, 2, 1, 2, 3, 1, 2, 4, 2, 2, 1, 0, 1, 103
C major blues (0), 6, 2, 1, 2, 1, 3, 7, 2, 2, 3, 0, 1, 2, 2, 0, 4, 3, 2,  , 4, 1, 5, 6, 1, 3, 2, 2, 0, 1, 1, 2, 3,  , 2, 4, 3,  , 3, 2, 2, 3, 2, 1, 3, 3, 2, 4, 0, 1, 1, 110
A minor blues (0), 7, 2, 1, 2, 1, 3, 7, 2, 2, 2, 0, 1, 2, 2, 0, 4, 3, 2,  , 5, 1, 7, 9, 1, 3, 2, 2, 0, 1, 1, 4, 2,  , 2, 4, 4,  , 3, 2, 2, 3, 2, 1, 3, 4, 2, 4, 0, 1, 1, 119
C dorian (0), 5, 1, 0, 2, 1, 2, 7, 1, 1, 2, 0, 1, 1, 1, 0, 3, 2, 2,  , 3, 1, 3, 6, 0, 2, 2, 1, 0, 1, 1, 1, 2,  , 1, 3, 2,  , 1, 1, 1, 2, 2, 1, 1, 2, 1, 3, 0, 0, 0, 76
C phrygian (0), 5, 0, 0, 1, 0, 2, 5, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1,  , 4, 1, 3, 4, 0, 1, 0, 0, 0, 0, 0, 2, 3,  , 0, 3, 3,  , 1, 0, 0, 0, 0, 1, 2, 1, 0, 3, 0, 1, 0, 52
C lydian (0), 5, 1, 0, 2, 1, 2, 7, 1, 1, 2, 0, 1, 1, 1, 0, 3, 2, 2,  , 3, 1, 3, 6, 0, 2, 2, 1, 0, 1, 1, 1, 2,  , 1, 3, 2,  , 1, 1, 1, 2, 2, 1, 1, 2, 1, 3, 0, 0, 0, 76
C mixolydian (0), 5, 0, 0, 1, 0, 2, 5, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1,  , 4, 1, 3, 4, 0, 1, 0, 0, 0, 0, 0, 2, 3,  , 0, 3, 3,  , 1, 0, 0, 0, 0, 1, 2, 1, 0, 3, 0, 1, 0, 52
C aeolian (0), 6, 0, 0, 2, 1, 3, 6, 0, 1, 2, 0, 0, 0, 0, 0, 2, 2, 1,  , 3, 1, 2, 5, 0, 1, 1, 0, 0, 1, 0, 1, 2,  , 0, 2, 2,  , 0, 0, 0, 1, 1, 1, 2, 2, 0, 2, 0, 0, 0, 56
C locrian (0), 4, 1, 1, 1, 0, 1, 4, 1, 1, 3, 0, 0, 1, 1, 0, 3, 2, 0,  , 3, 1, 4, 3, 1, 2, 0, 1, 0, 0, 0, 1, 3,  , 1, 3, 2,  , 2, 1, 1, 1, 0, 0, 3, 2, 1, 3, 0, 1, 1, 65
F major (1b), 6, 0, 0, 1, 0, 2, 5, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1,  , 4, 1, 3, 4, 0, 1, 0, 0, 0, 0, 0, 2, 3,  , 0, 3, 3,  , 1, 0, 0, 0, 0, 1, 1, 1, 0, 3, 0, 1, 0, 52
G major (1#), 5, 1, 0, 2, 1, 2, 7, 1, 1, 2, 0, 1, 1, 1, 0, 3, 2, 2,  , 3, 1, 4, 6, 0, 2, 2, 1, 0, 1, 1, 1, 1,  , 1, 3, 2,  , 1, 1, 1, 2, 2, 1, 1, 3, 1, 3, 0, 0, 0, 77
D minor (1b), 5, 1, 1, 0, 1, 3, 5, 0, 0, 2, 1, 1, 1, 1, 1, 2, 2, 2,  , 3, 0, 3, 8, 1, 1, 1, 1, 1, 1, 1, 3, 3,  , 1, 4, 4,  , 2, 0, 1, 1, 1, 1, 2, 1, 1, 4, 0, 2, 0, 81
E minor (1#), 4, 1, 1, 3, 3, 1, 6, 2, 2, 2, 0, 2, 1, 1, 0, 4, 4, 3,  , 2, 1, 4, 7, 0, 2, 3, 1, 0, 2, 2, 4, 2,  , 2, 4, 1,  , 1, 2, 2, 3, 3, 2, 2, 4, 2, 4, 0, 1, 0, 103
D minor mel (1b), 6, 1, 1, 1, 2, 4, 6, 0, 1, 2, 1, 1, 1, 1, 1, 2, 3, 2,  , 2, 0, 2, 9, 1, 1, 2, 1, 1, 2, 1, 2, 2,  , 1, 3, 3,  , 1, 0, 1, 2, 2, 1, 2, 2, 1, 3, 0, 1, 0, 85
E minor mel (1#), 3, 2, 2, 2, 4, 2, 6, 2, 2, 3, 1, 3, 2, 2, 1, 4, 5, 4,  , 1, 0, 3, 8, 1, 2, 4, 2, 1, 3, 3, 5, 3,  , 3, 5, 2,  , 2, 2, 3, 4, 4, 2, 2, 3, 3, 5, 0, 2, 0, 128
F major blues (1b), 7, 2, 2, 3, 2, 4, 6, 1, 3, 3, 0, 1, 1, 1, 0, 3, 4, 2,  , 4, 1, 4, 6, 2, 2, 2, 1, 0, 1, 1, 3, 3,  , 2, 4, 3,  , 3, 2, 1, 2, 2, 1, 2, 4, 2, 4, 0, 2, 1, 110
G major blues (1#), 6, 2, 1, 2, 2, 4, 7, 1, 1, 3, 1, 2, 2, 2, 1, 3, 3, 3,  , 4, 1, 5, 7, 1, 2, 3, 2, 1, 2, 2, 3, 3,  , 2, 5, 4,  , 3, 1, 2, 3, 3, 1, 2, 3, 2, 5, 0, 2, 0, 120
D minor blues (1b), 7, 2, 2, 3, 2, 4, 7, 1, 3, 3, 0, 1, 1, 1, 0, 3, 4, 2,  , 4, 1, 5, 9, 2, 2, 2, 1, 0, 1, 1, 3, 2,  , 2, 4, 3,  , 3, 2, 1, 2, 2, 1, 3, 5, 2, 4, 0, 2, 1, 116
