 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
C major (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
A minor (0), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
A minor mel (0), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
C major blues (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
A minor blues (0), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
C dorian (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
C phrygian (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
C lydian (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
C mixolydian (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
C aeolian (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
C locrian (0), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
F major (1b), 0, 0, 1,  , 1, 0, 1,  , 0, 0, 1, 3, 3, 3, 2, 3, 2, 2, 1, 3, 1, 1, 2, 0, 1, 1, 2, 1, 2,  , 3, 3, 1, 2, 1, 2, 3, 3, 3, 3, 5, 2, 4, 1, 3, 1, 0, 2, 1, 80
G major (1#), 1, 2, 3,  , 3, 2, 3,  , 1, 2, 3, 3, 3, 3, 4, 2, 4, 2, 3, 3, 2, 3, 3, 1, 2, 2, 3, 1, 3,  , 3, 3, 3, 3, 3, 2, 4, 5, 3, 1, 5, 2, 3, 1, 5, 3, 1, 2, 2, 121
D minor (1b), 0, 0, 1,  , 2, 0, 1,  , 0, 0, 1, 5, 2, 5, 3, 3, 2, 2, 1, 4, 1, 1, 3, 0, 1, 1, 2, 2, 2,  , 3, 4, 1, 3, 1, 1, 3, 3, 2, 4, 6, 2, 3, 1, 4, 1, 0, 3, 1, 91
E minor (1#), 4, 2, 5,  , 6, 2, 5,  , 4, 2, 5, 4, 4, 5, 6, 3, 4, 1, 4, 5, 2, 4, 3, 1, 8, 2, 4, 1, 3,  , 4, 4, 4, 6, 3, 2, 2, 4, 4, 2, 6, 2, 3, 1, 5, 7, 3, 2, 3, 166
D minor mel (1b), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
E minor mel (1#), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
F major blues (1b), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
G major blues (1#), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
D minor blues (1b), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
E minor blues (1#), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
F dorian (1b), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
G dorian (1#), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
F phrygian (1b), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
G phrygian (1#), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
F lydian (1b), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
G lydian (1#), 0, 0, 1,  , 1, 0, 1,  , 0, 0, 1, 3, 3, 3, 2, 3, 2, 2, 1, 3, 1, 1, 2, 0, 1, 1, 2, 1, 2,  , 3, 3, 1, 2, 1, 2, 3, 3, 3, 3, 5, 2, 4, 1, 3, 1, 0, 2, 1, 80
F mixolydian (1b), 1, 2, 3,  , 3, 2, 3,  , 1, 2, 3, 3, 3, 3, 4, 2, 4, 2, 3, 3, 2, 3, 3, 1, 2, 2, 3, 1, 3,  , 3, 3, 3, 3, 3, 2, 4, 5, 3, 1, 5, 2, 3, 1, 5, 3, 1, 2, 2, 121
G mixolydian (1#), 0, 0, 1,  , 2, 0, 1,  , 0, 0, 1, 5, 2, 5, 3, 3, 2, 2, 1, 4, 1, 1, 3, 0, 1, 1, 2, 2, 2,  , 3, 4, 1, 3, 1, 1, 3, 3, 2, 4, 6, 2, 3, 1, 4, 1, 0, 3, 1, 91
F aeolian (1b), 4, 2, 5,  , 6, 2, 5,  , 4, 2, 5, 4, 4, 5, 6, 3, 4, 1, 4, 5, 2, 4, 3, 1, 8, 2, 4, 1, 3,  , 4, 4, 4, 6, 3, 2, 2, 4, 4, 2, 6, 2, 3, 1, 5, 7, 3, 2, 3, 166
G aeolian (1#), 1, 1, 2,  , 2, 1, 2,  , 1, 1, 2, 4, 4, 4, 3, 2, 3, 2, 2, 2, 1, 2, 4, 1, 2, 2, 3, 2, 3,  , 4, 2, 2, 4, 2, 2, 4, 4, 4, 2, 6, 2, 4, 1, 4, 2, 1, 3, 2, 114
F locrian (1b), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
G locrian (1#), 1, 1, 2,  , 3, 1, 2,  , 1, 1, 2, 5, 4, 6, 5, 2, 3, 1, 2, 4, 1, 3, 4, 1, 8, 2, 4, 2, 3,  , 5, 3, 3, 6, 2, 1, 4, 4, 4, 3, 7, 2, 4, 1, 6, 5, 1, 3, 3, 141
