 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, rowcost
C major (0), 0, 4, 1, 0, 0, 1, 3, 1, 2, 0, 5, 1, 0, 0, 1, 1, 2, 4, 1, 2, 2, 5, 2, 1,  , 0, 1, 0, 1, 2, 1, 3, 3, 1, 1, 4, 0, 1, 2, 1, 3, 2,  , 2, 5, 3, 2, 1, 0, 5, 4, 4, 6, 4, 2, 0, 2, 1, 2, 1, 3, 0, 112
A minor (0), 0, 4, 1, 0, 0, 1, 3, 2, 2, 1, 6, 2, 0, 0, 1, 1, 1, 4, 1, 3, 2, 6, 3, 2,  , 0, 0, 1, 1, 2, 2, 5, 4, 2, 1, 3, 1, 1, 1, 1, 6, 2,  , 3, 4, 4, 3, 3, 0, 5, 5, 7, 6, 4, 3, 0, 1, 2, 5, 2, 4, 0, 140
A minor mel (0), 0, 5, 2, 1, 1, 1, 4, 2, 1, 1, 7, 3, 0, 1, 1, 1, 2, 5, 1, 4, 2, 5, 4, 3,  , 1, 0, 2, 2, 3, 3, 6, 3, 2, 1, 4, 1, 2, 2, 2, 7, 3,  , 4, 3, 3, 4, 4, 1, 5, 6, 7, 5, 4, 4, 0, 1, 3, 6, 3, 4, 0, 168
C major blues (0), 0, 5, 2, 1, 1, 1, 4, 1, 2, 0, 7, 3, 0, 1, 1, 1, 4, 5, 1, 4, 4, 5, 4, 3,  , 1, 1, 1, 2, 3, 3, 4, 3, 1, 2, 5, 0, 2, 3, 2, 4, 3,  , 4, 6, 4, 3, 3, 2, 6, 5, 4, 6, 4, 4, 1, 3, 2, 4, 2, 4, 0, 167
A minor blues (0), 0, 4, 2, 1, 1, 1, 5, 1, 2, 0, 7, 3, 0, 1, 1, 1, 4, 6, 1, 4, 4, 6, 4, 3,  , 1, 1, 1, 2, 4, 3, 5, 3, 1, 2, 5, 0, 2, 3, 2, 6, 4,  , 4, 6, 4, 4, 4, 2, 6, 7, 6, 5, 4, 4, 1, 2, 2, 6, 2, 4, 0, 180
C dorian (0), 0, 5, 2, 1, 1, 1, 4, 1, 1, 0, 6, 2, 0, 1, 1, 1, 3, 5, 1, 3, 2, 4, 3, 2,  , 1, 1, 1, 2, 3, 2, 4, 2, 1, 1, 5, 0, 2, 3, 2, 4, 3,  , 3, 4, 2, 3, 2, 1, 5, 5, 4, 5, 4, 3, 0, 2, 2, 3, 2, 3, 0, 140
C phrygian (0), 0, 3, 0, 0, 0, 0, 2, 0, 1, 0, 4, 0, 0, 0, 0, 0, 3, 3, 0, 2, 3, 4, 1, 0,  , 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 3, 0, 0, 1, 0, 2, 1,  , 2, 6, 2, 1, 2, 1, 6, 3, 3, 5, 3, 2, 0, 2, 0, 1, 0, 2, 0, 84
C lydian (0), 0, 5, 2, 1, 1, 1, 4, 1, 1, 0, 6, 2, 0, 1, 1, 1, 3, 5, 1, 3, 2, 4, 3, 2,  , 1, 1, 1, 2, 3, 2, 4, 2, 1, 1, 5, 0, 2, 3, 2, 4, 3,  , 3, 4, 2, 3, 2, 1, 5, 5, 4, 5, 4, 3, 0, 2, 2, 3, 2, 3, 0, 140
C mixolydian (0), 0, 3, 0, 0, 0, 0, 2, 0, 1, 0, 4, 0, 0, 0, 0, 0, 3, 3, 0, 2, 3, 4, 1, 0,  , 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 3, 0, 0, 1, 0, 2, 1,  , 2, 6, 2, 1, 2, 1, 6, 3, 3, 5, 3, 2, 0, 2, 0, 1, 0, 2, 0, 84
C aeolian (0), 0, 4, 1, 0, 0, 1, 3, 1, 2, 0, 5, 1, 0, 0, 1, 1, 2, 4, 1, 2, 2, 5, 2, 1,  , 0, 1, 0, 1, 2, 1, 3, 3, 1, 1, 4, 0, 1, 2, 1, 3, 2,  , 2, 5, 3, 2, 1, 0, 5, 4, 4, 6, 4, 2, 0, 2, 1, 2, 1, 3, 0, 112
C locrian (0), 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 5, 1, 0, 0, 0, 0, 3, 2, 0, 3, 4, 3, 2, 1,  , 0, 1, 0, 0, 1, 2, 1, 1, 0, 2, 3, 0, 0, 1, 0, 1, 1,  , 3, 5, 3, 1, 2, 1, 6, 2, 2, 4, 2, 3, 1, 3, 0, 2, 0, 3, 0, 86
F major (1b), 0, 3, 0, 0, 0, 0, 2, 0, 1, 0, 4, 0, 0, 0, 0, 0, 3, 3, 0, 2, 3, 4, 1, 0,  , 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 3, 0, 0, 1, 0, 2, 1,  , 3, 6, 1, 1, 2, 1, 6, 3, 3, 5, 3, 3, 0, 2, 0, 1, 0, 2, 0, 85
G major (1#), 0, 5, 2, 1, 1, 1, 4, 1, 1, 0, 6, 2, 0, 1, 1, 1, 3, 5, 1, 3, 2, 4, 3, 2,  , 1, 1, 1, 2, 3, 2, 4, 2, 1, 1, 5, 0, 2, 3, 2, 4, 3,  , 3, 4, 2, 4, 3, 1, 5, 5, 5, 5, 3, 3, 0, 1, 2, 5, 2, 3, 0, 143
D minor (1b), 1, 2, 1, 0, 0, 1, 4, 1, 2, 0, 5, 1, 1, 1, 1, 1, 3, 5, 0, 3, 4, 5, 0, 1,  , 1, 2, 1, 2, 2, 1, 3, 3, 1, 2, 3, 1, 1, 2, 1, 5, 2,  , 3, 5, 2, 1, 2, 2, 6, 3, 5, 5, 3, 2, 1, 0, 1, 2, 1, 2, 1, 123
E minor (1#), 0, 3, 4, 1, 1, 1, 4, 4, 2, 0, 7, 5, 0, 1, 9, 3, 3, 4, 1, 3, 1, 3, 5, 3,  , 2, 2, 2, 3, 5, 3, 7, 2, 4, 1, 3, 0, 4, 4, 4, 5, 4,  , 3, 3, 3, 6, 3, 1, 1, 6, 5, 3, 3, 3, 0, 2, 4, 5, 3, 3, 0, 180
D minor mel (1b), 1, 3, 2, 0, 0, 2, 5, 2, 3, 0, 6, 2, 1, 1, 2, 2, 2, 6, 1, 3, 3, 6, 1, 2,  , 1, 2, 1, 2, 3, 1, 4, 4, 2, 1, 4, 1, 2, 3, 2, 6, 3,  , 3, 4, 3, 2, 1, 1, 5, 4, 6, 6, 4, 2, 1, 0, 2, 3, 2, 3, 1, 151
E minor mel (1#), 1, 3, 5, 1, 1, 2, 5, 5, 3, 0, 8, 6, 1, 2, 10, 4, 3, 5, 1, 4, 2, 4, 4, 4,  , 3, 3, 3, 4, 5, 3, 8, 3, 5, 1, 3, 1, 5, 5, 5, 6, 4,  , 4, 2, 3, 5, 2, 2, 1, 5, 6, 4, 4, 3, 1, 1, 5, 4, 4, 3, 1, 211
F major blues (1b), 0, 4, 2, 0, 0, 1, 3, 2, 3, 1, 7, 3, 0, 0, 2, 2, 3, 4, 1, 4, 5, 6, 4, 3,  , 1, 2, 1, 2, 2, 2, 4, 4, 2, 2, 4, 0, 2, 2, 2, 3, 2,  , 4, 6, 3, 3, 3, 1, 6, 4, 5, 6, 4, 4, 1, 3, 2, 3, 2, 5, 1, 163
G major blues (1#), 1, 5, 3, 1, 1, 2, 5, 2, 3, 0, 7, 3, 1, 2, 2, 2, 4, 6, 1, 4, 4, 6, 3, 3,  , 2, 2, 2, 3, 3, 2, 5, 4, 2, 2, 5, 1, 3, 4, 3, 5, 3,  , 4, 6, 3, 4, 4, 3, 6, 5, 6, 7, 4, 3, 1, 1, 3, 5, 3, 3, 1, 194
D minor blues (1b), 0, 4, 2, 0, 0, 1, 4, 2, 3, 1, 7, 3, 0, 0, 2, 2, 3, 5, 1, 4, 5, 6, 4, 3,  , 1, 2, 1, 2, 3, 2, 4, 4, 2, 2, 4, 0, 2, 2, 2, 5, 3,  , 3, 6, 4, 4, 4, 1, 6, 5, 6, 6, 3, 3, 1, 2, 2, 5, 2, 5, 1, 172
E minor blues (1#), 1, 4, 4, 1, 1, 2, 6, 5, 3, 0, 7, 5, 1, 2, 10, 4, 4, 7, 1, 4, 4, 6, 5, 4,  , 2, 2, 2, 3, 4, 2, 9, 5, 4, 2, 4, 1, 4, 4, 4, 7, 4,  , 4, 6, 3, 5, 4, 3, 2, 7, 8, 7, 5, 3, 1, 1, 4, 5, 4, 3, 1, 230
F dorian (1b), 0, 4, 1, 0, 0, 1, 3, 1, 2, 0, 5, 1, 0, 0, 1, 1, 2, 4, 1, 2, 2, 5, 2, 1,  , 0, 1, 0, 1, 2, 1, 3, 3, 1, 1, 4, 0, 1, 2, 1, 3, 2,  , 3, 5, 2, 2, 1, 0, 5, 4, 4, 6, 4, 3, 0, 2, 1, 2, 1, 3, 0, 113
G dorian (1#), 1, 5, 3, 1, 1, 2, 5, 2, 2, 0, 7, 3, 1, 2, 2, 2, 3, 6, 1, 4, 3, 5, 2, 3,  , 2, 2, 2, 3, 3, 2, 5, 3, 2, 1, 5, 1, 3, 4, 3, 5, 3,  , 4, 3, 2, 3, 2, 2, 5, 4, 6, 6, 4, 3, 1, 0, 3, 4, 3, 3, 1, 174
